npsn;nama;alamat;kode_wilayah;kode_pos;status;kode_jenjang;akreditasi;email;latitude;longitude
P9948450;PKBM BINA ILMU;SP 2 Korano Jaya, Distrik Manimeri;92.06.11.2006;98551;Swasta;PKBM;Belum Terakreditasi;P9948450@serasibintuni.go.id;-1.649.400.000.000;133.714.000.000.000
70010773;TK CENDRAWASIH MEYERGA;NEYERGA;92.06.22.2001;98364;Negeri;TK;Belum Terakreditasi;70010773@serasibintuni.go.id;.000000000000;.000000000000
60401956;SMP NEGERI 1 ARANDAY;Jl Wanagir, Kampung Sebyar Rejosari Distrik Tomu;92.06.19.2002;98364;Negeri;SMP;A;60401956@serasibintuni.go.id;-1.942.000.000.000;132.937.500.000.000
60403691;TK ST MARIA;KAMPUNG YARU;92.06.16.2001;98364;Swasta;TK;Belum Terakreditasi;60403691@serasibintuni.go.id;.000000000000;.000000000000
70006009;KB BUSTANUL ATHFAAL YAA BUNAYYA;SP. IV JALUR 1 BANJAR AUSOY - DISTRIK MANIMERI;92.06.11.2002;98364;Swasta;KB;B;70006009@serasibintuni.go.id;.000000000000;.000000000000
60401882;SD INPRES BABO;Kasira;92.06.03.2023;98363;Negeri;SD;B;60401882@serasibintuni.go.id;-1.604.700.000.000;133.198.500.000.000
60401957;SMP NEGERI BABO;Jl. Pendidikan;92.06.03.2023;98363;Negeri;SMP;Belum Terakreditasi;60401957@serasibintuni.go.id;-2.541.000.000.000;133.443.000.000.000
60725746;SMPN TAROI;KAMPUNG TAROI;92.06.19.2003;98364;Negeri;SMP;C;60725746@serasibintuni.go.id;-2.189.200.000.000;133.166.100.000.000
60403490;SMKN 1 BINTUNI;JL. RAYA BINTUNI - MANIMERI;92.06.11.2002;98364;Negeri;SMK;Belum Terakreditasi;60403490@serasibintuni.go.id;-2.081.700.000.000;133.675.000.000.000
60403660;SMAN MERDEY;MERDEY;92.06.02.2001;98551;Negeri;SMA;Belum Terakreditasi;60403660@serasibintuni.go.id;-1.583.300.000.000;133.333.000.000.000
60401944;SD YPPK AROBA;-;92.06.16.2001;98364;Swasta;SD;Belum Terakreditasi;60401944@serasibintuni.go.id;-2.728.600.000.000;133.350.300.000.000
60401887;SD INPRES KALI KODOK;Bintuni Timur;92.06.01.1001;98364;Negeri;SD;B;60401887@serasibintuni.go.id;-2.121.800.000.000;133.540.000.000.000
60403649;SD PERSIAPAN OBO;-;92.06.10.2001;98364;Negeri;SD;C;60403649@serasibintuni.go.id;-2.742.100.000.000;133.534.300.000.000
60725747;SMPN SATAP HORNA;KAMPUNG HORNA;92.06.13.2001;98364;Negeri;SMP;Belum Terakreditasi;60725747@serasibintuni.go.id;-1.614.883.000.000;133.658.741.000.000
69938355;Paud/KB Merij Idut;Kampung Idut;92.06.11.2002;98364;Swasta;KB;Belum Terakreditasi;69938355@serasibintuni.go.id;.000000000000;.000000000000
60401885;SD INPRES IGOMU;Igomu;92.06.24.2001;98364;Negeri;SD;C;60401885@serasibintuni.go.id;-1.306.800.000.000;133.221.800.000.000
60403497;SMP YPK TANAH MERAH;Tanah Merah;92.06.14.2002;98551;Swasta;SMP;B;60403497@serasibintuni.go.id;-2.462.100.000.000;133.103.800.000.000
60403648;SD INPRES KALIBIRU;Kalibiru;92.06.17.2003;98364;Negeri;SD;C;60403648@serasibintuni.go.id;-1.440.300.000.000;133.078.400.000.000
70006010;TK INTEGRAL QURROTA A’YUN;SP. IV JALUR 1 BANJAR AUSOY - DISTRIK MANIMERI;92.06.11.2002;98364;Swasta;TK;C;70006010@serasibintuni.go.id;.000000000000;.000000000000
60401897;SD INPRES NARAMASA;Naramasa Kuri;92.06.10.2004;98364;Negeri;SD;C;60401897@serasibintuni.go.id;-1.595.900.000.000;133.145.900.000.000
70005978;TK SANTO MIKAEL TANIBA;JL. TRANS PAPUA - DISTRIK FAFURWAR;92.06.08.2001;98364;Swasta;TK;Belum Terakreditasi;70005978@serasibintuni.go.id;.000000000000;.000000000000
69939741;TK YPK PNIEL SP IV MANIMERI;JL. POROS SP IV MANIMERI;92.06.11.2002;98551;Swasta;TK;Belum Terakreditasi;69939741@serasibintuni.go.id;.000000000000;.000000000000
60404138;SMP YPK BINTUNI;JL.Bina Desa;92.06.01.1002;98364;Swasta;SMP;C;60404138@serasibintuni.go.id;-2.117.900.000.000;133.533.600.000.000
69938368;TK PGRI Materabu Jaya SP 1;Kelapa Dua Sp 1;92.06.14.2003;98551;Negeri;TK;Belum Terakreditasi;69938368@serasibintuni.go.id;.000000000000;.000000000000
60401962;SMAS YPK BINTUNI;JL. RAYA BINTUNI;92.06.01.1001;98634;Swasta;SMA;B;60401962@serasibintuni.go.id;-2.123.100.000.000;133.552.200.000.000
60401895;SD INPRES MEYERGA;Meyerga;92.06.22.2001;98364;Negeri;SD;C;60401895@serasibintuni.go.id;-1.627.600.000.000;132.956.400.000.000
69967959;KB Sta. LUCIA;KAMPUNG WESIRI KM. 4;92.06.01.2026;98364;Swasta;KB;B;69967959@serasibintuni.go.id;.000000000000;.000000000000
70008342;TK YPK SERITO;TANAH MERAH;92.06.14.2002;null;Swasta;TK;Belum Terakreditasi;70008342@serasibintuni.go.id;.000000000000;.000000000000
60403684;TK PANCASILA;TOMU;92.06.19.2002;98157;Swasta;TK;C;60403684@serasibintuni.go.id;.000000000000;.000000000000
70037839;KB SAIBMA;AROBA;92.06.16.2001;null;Swasta;KB;C;70037839@serasibintuni.go.id;.000000000000;.000000000000
69938261;KB MELATI SP 2;JL. RAYA KORANO JAYA SP 2;92.06.11.2006;98364;Swasta;KB;Belum Terakreditasi;69938261@serasibintuni.go.id;.000000000000;.000000000000
70011011;TK BOUDEN RUGA;KAMPUNG HUSS;92.06.13.2005;98364;Negeri;TK;Belum Terakreditasi;70011011@serasibintuni.go.id;-1.615.395.000.000;133.653.352.000.000
60403672;TK BETHESDA TOFOI;TOFOI;92.06.14.2001;null;Swasta;TK;Belum Terakreditasi;60403672@serasibintuni.go.id;.000000000000;.000000000000
60401893;SD INPRES MAYADO;Mayado;92.06.23.2001;98364;Negeri;SD;B;60401893@serasibintuni.go.id;-1.779.670.400.000;132.924.028.500.000
60401951;SMP STELLA MARIS TOFOI;TOFOI;92.06.14.2001;98364;Swasta;SMP;B;60401951@serasibintuni.go.id;-2.537.800.000.000;133.252.100.000.000
69938256;TK Riedo Sarbe;Sarbe;92.06.10.2001;98364;Swasta;TK;B;69938256@serasibintuni.go.id;.000000000000;.000000000000
60725756;TK NEGERI HERLINA I;SIBENA;92.06.01.1002;98551;Negeri;TK;Belum Terakreditasi;60725756@serasibintuni.go.id;-1.823.700.000.000;133.519.700.000.000
69939743;TK SANTO THEOFILUS MANIMERI;Kampung Pasamai;92.06.11.2005;98364;Swasta;TK;B;69939743@serasibintuni.go.id;.000000000000;.000000000000
60403698;TK YOTEFA;KM. 7 Muturi;92.06.11.2001;98551;Swasta;TK;Belum Terakreditasi;60403698@serasibintuni.go.id;-1.652.700.000.000;133.800.000.000.000
60403740;SMP NEGERI 2 ARANDAY;ARANDAY;92.06.04.2001;98364;Negeri;SMP;C;60403740@serasibintuni.go.id;-2.217.700.000.000;132.967.900.000.000
69728613;SD YPPK TOFOI;Kampung Tofoi;92.06.14.2001;98572;Swasta;SD;B;69728613@serasibintuni.go.id;-2.548.600.000.000;133.275.400.000.000
60401884;SD INPRES HTI 02 ARANDAI;Kampung Manunggal Karya;92.06.04.2008;98364;Negeri;SD;C;60401884@serasibintuni.go.id;-1.997.800.000.000;133.302.700.000.000
60404135;SD NEGERI MOROMBUY;Kampung Morombuy;92.06.02.2011;98364;Negeri;SD;C;60404135@serasibintuni.go.id;-1.573.800.000.000;133.190.800.000.000
60403676;TK EBENHEISER SIGERAU;SP. V BINTUNI;92.06.01.2005;98364;Swasta;TK;B;60403676@serasibintuni.go.id;.000000000000;.000000000000
69992325;KELOMPOK BERMAIN HERLINA 2;JL. BEIMES;92.06.01.2009;98364;Swasta;KB;B;69992325@serasibintuni.go.id;.000000000000;.000000000000
70015782;TK YPPK SANTO ARNOLDUS;KAMPUNG ONAR LAMA;92.06.14.2003;null;Swasta;TK;Belum Terakreditasi;70015782@serasibintuni.go.id;.000000000000;.000000000000
60403685;TK PERTIWI;JL. RAYA BINTUNI, KORANO JAYA SP 2 MANIMERI;92.06.11.2006;98552;Swasta;TK;B;60403685@serasibintuni.go.id;.000000000000;.000000000000
60403479;SD INPRES MAYENDA;Meyenda;92.06.05.2004;98364;Negeri;SD;C;60403479@serasibintuni.go.id;-1.731.700.000.000;132.923.300.000.000
69940428;KB EVI I SP. 4;SP. 4 Jalur 6;92.06.11.2002;98364;Swasta;KB;B;69940428@serasibintuni.go.id;.000000000000;.000000000000
60401923;SD YPK YENSEI;Yensei;92.06.07.2003;98364;Swasta;SD;C;60401923@serasibintuni.go.id;-2.176.500.000.000;133.922.600.000.000
60403659;SMP NEGERI TERPADU;Jalan Raya Bintuni Awarepi Bintuni Timur;92.06.01.1001;98364;Negeri;SMP;Belum Terakreditasi;60403659@serasibintuni.go.id;-2.126.100.000.000;133.561.300.000.000
60401891;SD INPRES MAMURANU;Mamuranu;92.06.07.2004;98364;Negeri;SD;C;60401891@serasibintuni.go.id;-1.615.400.000.000;133.195.000.000.000
69937923;PAUD Herlina 3;Kampung Lama;92.06.01.1001;98364;Swasta;KB;B;69937923@serasibintuni.go.id;.000000000000;.000000000000
69987606;TK AISYIYAH TOMU;JL. TOMU;92.06.19;98364;Swasta;TK;B;69987606@serasibintuni.go.id;.000000000000;.000000000000
70032303;TK YPK IMANUEL BABO;JL. PERTOKOAN DISTRIK BABO;92.06.03.2020;98364;Swasta;TK;Belum Terakreditasi;70032303@serasibintuni.go.id;.000000000000;.000000000000
60403656;SMP SATU ATAP MEYERGA;Jln.Meyerga , Moskona Barat-Kode Pos: 98364;92.06.22.2001;98154;Negeri;SMP;C;60403656@serasibintuni.go.id;-1.635.600.000.000;132.957.300.000.000
60401928;SD YPPK MERDEY;Kampung Merdey;92.06.02.2001;98364;Swasta;SD;B;60401928@serasibintuni.go.id;-1.590.139.000.000;133.294.052.000.000
60403478;SD PERINTIS KM. BARU;Jalan Raya Kampung Baru Distrik Aranday;92.06.04.2007;98364;Negeri;SD;C;60403478@serasibintuni.go.id;-1.910.700.000.000;133.197.500.000.000
60403701;TK YPK LAHAIROY STEIRIRA;Jl. Bina Desa Bintuni;92.06.01.1001;98364;Swasta;TK;B;60403701@serasibintuni.go.id;-2.121.400.000.000;133.534.200.000.000
70002969;TK YPK VIADOLOROSA BINTUNI;KOMPLEKS SD YPK VIADOLOROSA;92.06.01.1001;98364;Swasta;TK;C;70002969@serasibintuni.go.id;.000000000000;.000000000000
70005083;SD HARMONI SCHOOL TERPADU BINTUNI;Jl. Sport Center Kampung Lama;92.06.01.1001;98551;Swasta;SD;Belum Terakreditasi;70005083@serasibintuni.go.id;-2.184.600.000.000;133.497.600.000.000
60404137;SMP NEGERI SATU ATAP JAGIRO;Jln.Yosep Bandara Neizzen;92.06.05.2001;98551;Negeri;SMP;C;60404137@serasibintuni.go.id;-1.667.500.000.000;132.831.200.000.000
70009382;SMP TAMAN BANGSA TOFOI;KAMPUNG TOFOI - DSITRIK SUMURI;92.06.14.2001;98364;Swasta;SMP;C;70009382@serasibintuni.go.id;-2.000.000.000.000;133.311.200.000.000
70003582;PAUD ATIBO PASAMAI MANIMERI;JL. ATIBO MANIMERI;92.06.11.2004;98364;Swasta;KB;C;70003582@serasibintuni.go.id;.000000000000;.000000000000
P9962882;PKBM SIGEMERAI INDAH;KAMPUNG ARGOSIGEMERAI SP 5;92.06.01.2005;98364;Swasta;PKBM;Belum Terakreditasi;P9962882@serasibintuni.go.id;-2.151.852.500.000;133.513.140.000.000
70002763;TK AISYIYAH BUSTANUL ATFAL KELAPA DUA SP.1;JLN. GUNUNG MASJID MATERABU JAYA KELAPA DUA SP.1;92.06.14.2001;98551;Swasta;TK;C;70002763@serasibintuni.go.id;.000000000000;.000000000000
70014462;TK HERLINA 3;KAMPUNG LAMA;92.06.01.1001;98364;Swasta;TK;B;70014462@serasibintuni.go.id;.000000000000;.000000000000
69964306;TK AL-MAGHFIROH;KAMPUNG ARGOSIGEMERAI;92.06.01.2005;98364;Swasta;TK;C;69964306@serasibintuni.go.id;.000000000000;.000000000000
P9934329;PKBM KELAPA DUA;JL. KAMPUNG FORADA DISTRIK SUMURI;92.06.14.2004;98364;Swasta;PKBM;C;P9934329@serasibintuni.go.id;-2.458.900.000.000;133.188.500.000.000
60404136;SD NEGERI ANAKASI;Kampung Anakasi;92.06.07.2001;98364;Negeri;SD;C;60404136@serasibintuni.go.id;-2.139.600.000.000;133.970.100.000.000
60401938;SD NEGERI BINTUNI;Jl. Panti Asuhan;92.06.01.1001;98364;Negeri;SD;A;60401938@serasibintuni.go.id;-2.115.000.000.000;133.529.600.000.000
69993136;KELOMPOK BERMAIN EVI III MUTURI;JL. MUTURI;92.06.11.2006;98364;Swasta;KB;C;69993136@serasibintuni.go.id;.000000000000;.000000000000
60403650;SD NEGERI TERPADU;Jl. Raya Bintuni-Kalitubi;92.06.01.1001;98364;Negeri;SD;A;60403650@serasibintuni.go.id;-2.125.100.000.000;133.562.100.000.000
60403686;TK PGRI SP IV;JL. POROS SP IV MANIMERI;92.06.11.2002;98364;Negeri;TK;B;60403686@serasibintuni.go.id;.000400000000;.002300000000
60401919;SD YPK SERITO;Tanah Merah;92.06.14.2002;98363;Swasta;SD;C;60401919@serasibintuni.go.id;-2.468.900.000.000;133.178.500.000.000
60401922;SD YPK SION YAKATI;Kampung Yakati;92.06.07.2002;98364;Swasta;SD;C;60401922@serasibintuni.go.id;-1.607.500.000.000;133.210.200.000.000
60401912;SD INPRES TUASAI;Jl. Poros Manimeri Iguriji;92.06.01.2010;98551;Negeri;SD;B;60401912@serasibintuni.go.id;-2.098.900.000.000;133.640.200.000.000
69940407;KB. Al Fatihah Bintuni;Jl. Korano Bintuni;92.06.01.1001;98551;Swasta;KB;B;69940407@serasibintuni.go.id;.000000000000;.000000000000
60401902;SD INPRES SP I MANIMERI;Kampung Tihibo;92.06.11.2004;98552;Negeri;SD;A;60401902@serasibintuni.go.id;-2.076.600.000.000;133.691.300.000.000
70007583;KB PERTIWI BARMA BARU;KAMPUNG BARMA BARU;92.06.23.2001;null;Swasta;KB;B;70007583@serasibintuni.go.id;.000000000000;.000000000000
60401961;SMAN 1 BINTUNI;Jl. Raya Bintuni, KM. 5 Wesiri - Bintuni Barat;92.06.01.1002;98551;Negeri;SMA;A;60401961@serasibintuni.go.id;-2.089.900.000.000;133.496.900.000.000
60401894;SD INPRES MESYETA;Jl. Raya Masyeta;92.06.17.2001;98551;Negeri;SD;C;60401894@serasibintuni.go.id;-1.498.000.000.000;133.158.200.000.000
69992931;KB SANTA ANGELA;JL. POROS ARGOSIGEMERAI - BINTUNI;92.06.01.2005;98551;Swasta;KB;C;69992931@serasibintuni.go.id;-1.903.700.000.000;133.329.500.000.000
69879197;SMA NEGERI MAYERGA;MAYERGA;92.06.22.2001;98364;Negeri;SMA;C;69879197@serasibintuni.go.id;-1.776.700.000.000;132.746.100.000.000
60401953;SMP YPPK SANTA MONIKA;Jl. Raya Bintuni Km. 2 Kelurahan Bintuni Barat;92.06.01.1002;98364;Swasta;SMP;B;60401953@serasibintuni.go.id;-2.100.400.000.000;133.515.800.000.000
69990817;TK NEGERI MENDARIO;JL. RAYA JAGIRO;92.06.05.2001;98551;Negeri;TK;C;69990817@serasibintuni.go.id;.000000000000;.000000000000
60725742;SD NEGERI AWEGRO;Kampung Awegro;92.06.10.2001;98363;Negeri;SD;C;60725742@serasibintuni.go.id;-1.897.600.000.000;133.571.700.000.000
60403742;SMPN WIMRO;Kampung Sidomakmur;92.06.16.2003;98363;Negeri;SMP;B;60403742@serasibintuni.go.id;-2.506.300.000.000;133.371.100.000.000
60401926;SD YPPK FRUATA;Kampung Fruata;92.06.08.2001;98364;Swasta;SD;C;60401926@serasibintuni.go.id;-2.860.200.000.000;133.768.400.000.000
60401904;SD INPRES MANIMERI II;Korano Jaya;92.06.11.2006;98552;Negeri;SD;C;60401904@serasibintuni.go.id;-2.072.400.000.000;133.720.200.000.000
70003810;TK YPK SION TEMBUNI;JL. YAKOB IBORI -DISTRIK TEMBUNI;92.06.09.2001;null;Swasta;TK;C;70003810@serasibintuni.go.id;.000000000000;.000000000000
60401901;SD INPRES VARITA DUA SP.I;Jln.Pendidikan Materabu Jaya SP.1;92.06.14.2005;98363;Negeri;SD;B;60401901@serasibintuni.go.id;-2.582.100.000.000;133.201.000.000.000
70003715;TK KARTINI II WERIAGAR;Distrik Weriagar;92.06.21.2001;98364;Swasta;TK;B;70003715@serasibintuni.go.id;-2.273.001.000.000;132.890.126.000.000
70005247;KB CERIA VASCODAMNEEM;Kampung Vascodamneem;92.06.23.2004;98551;Swasta;KB;C;70005247@serasibintuni.go.id;.000000000000;.000000000000
60401880;SD INPRES HTI 01 ARANDAY;Jl. Wanagir;92.06.19.2001;98364;Negeri;SD;B;60401880@serasibintuni.go.id;-2.079.300.000.000;133.138.900.000.000
60403667;TK AISYIYAH BUSTANUL ATHFAL;JL. RAYA KORANO JAYA SP 2;92.06.11.2006;98364;Swasta;TK;Belum Terakreditasi;60403667@serasibintuni.go.id;-2.081.800.000.000;-226.390.500.000.000
69988833;TK SANTA THERESIA SAENGGA;JL. SAENGGA;92.06.14.2003;null;Swasta;TK;C;69988833@serasibintuni.go.id;.000000000000;.000000000000
69940702;KB Herlina 4 Beimes;Kampung Beimes;92.06.01.2009;98364;Swasta;KB;C;69940702@serasibintuni.go.id;.000000000000;.000000000000
70007579;TK KANAISI NITAT;JL. SERITO SUMURI;92.06.03.2020;98364;Swasta;TK;Belum Terakreditasi;70007579@serasibintuni.go.id;.000000000000;.000000000000
70000400;SD NEGERI YAKORA;Kampung Yakora;92.06.04.2001;98360;Negeri;SD;Belum Terakreditasi;70000400@serasibintuni.go.id;-2.047.300.000.000;133.054.000.000.000
60403697;TK YAPIS BINTUNI;JL. Raya Bintuni;92.06.01.1001;null;Swasta;TK;Belum Terakreditasi;60403697@serasibintuni.go.id;-2.114.900.000.000;133.528.900.000.000
60401958;SMP NEGERI MERDEY;Merdey;92.06.02.2001;98364;Negeri;SMP;B;60401958@serasibintuni.go.id;-1.592.824.000.000;133.295.681.000.000
60401935;SD YPPK WERIAGAR;Teluk Bintuni;92.06.21.2001;98157;Swasta;SD;C;60401935@serasibintuni.go.id;-2.273.138.000.000;132.891.648.000.000
69991405;SD NEGERI MOCU INOFINA;Jl.Mesisi Star;92.06.06.2001;null;Negeri;SD;C;69991405@serasibintuni.go.id;-1.510.137.700.000;133.051.417.000.000
60401929;SD YPPK MOGOI BARU;Jln. Yoseph Tomouw;92.06.09.2002;98364;Swasta;SD;B;60401929@serasibintuni.go.id;-1.898.100.000.000;133.254.400.000.000
69935461;SMA Negeri Tembuni;Kampung Tembuni Rt. 01 Rw. 01;92.06.09.2001;98551;Negeri;SMA;C;69935461@serasibintuni.go.id;-2.056.854.100.000;133.284.697.800.000
60401947;SMP PERINTIS STENGKOL I;Kompleks Fasilitas Umum, Kampung Bangun Harjo;92.06.09.2001;98551;Negeri;SMP;C;60401947@serasibintuni.go.id;-1.854.300.000.000;133.411.600.000.000
60401916;SD YPK VIADOLOROSA;Bintuni Barat;92.06.01.1002;98364;Swasta;SD;A;60401916@serasibintuni.go.id;-2.160.100.000.000;133.534.400.000.000
69939737;TK YPK EFATA KORANO JAYA SP 2;JL. POROS KAMPUNG KORANO JAYA SP 2;92.06.11.2006;98362;Swasta;TK;B;69939737@serasibintuni.go.id;.000000000000;.000000000000
60403670;TK AL KHAIRAT;KAMPUNG ARGOSIGEMERAI SP. 5;92.06.01.2005;98551;Swasta;TK;Belum Terakreditasi;60403670@serasibintuni.go.id;-2.104.600.000.000;133.612.100.000.000
60401942;SD NEGERI TAROI;Kampung Taroi;92.06.19.2003;98364;Negeri;SD;B;60401942@serasibintuni.go.id;-2.190.700.000.000;133.168.700.000.000
60725759;TKN PERTIWI BABO;JL.PENDIDIKAN;92.06.03.2023;98363;Negeri;TK;Belum Terakreditasi;60725759@serasibintuni.go.id;-2.541.700.000.000;133.442.200.000.000
60401931;SD YPPK SAENGGA;Kampung Saengga;92.06.14.2003;98363;Swasta;SD;B;60401931@serasibintuni.go.id;-2.530.100.000.000;133.133.900.000.000
60403488;SMAN PERSIAPAN BABO;kasira;92.06.03.2023;98363;Negeri;SMA;B;60403488@serasibintuni.go.id;-2.533.300.000.000;133.441.800.000.000
60401937;SD YPK ONAR;Onar RT.01/RW.01 Kecamatan Sumuri Kab. Teluk Bintuni;92.06.14.2003;98364;Swasta;SD;C;60401937@serasibintuni.go.id;-2.499.100.000.000;133.098.900.000.000
70003901;KB AL-MAGHFIROH;KAMPUNG ARGOSIGEMERAI SP. 5;92.06.01.2005;98364;Swasta;KB;C;70003901@serasibintuni.go.id;.000000000000;.000000000000
70003352;TK SANTA ANNA;JL. RAYA BINTUNI - KM.4;92.06.01.1002;98364;Swasta;TK;B;70003352@serasibintuni.go.id;.000000000000;.000000000000
69938390;KB EVI 2 TUBEIG;Kampung Iguriji Distrik Bintuni;92.06.01.2010;98364;Negeri;KB;B;69938390@serasibintuni.go.id;.000000000000;.000000000000
60403663;SMAS YPPK ST ARNOLDUS YANSEN;Kampung Wesiri, Km 4 Distrik Bintuni;92.06.01.1002;98551;Swasta;SMA;Belum Terakreditasi;60403663@serasibintuni.go.id;-2.094.600.000.000;133.505.900.000.000
60403703;TK YPPK ST YOHANES;BINTUNI;92.06.01.1001;98364;Swasta;TK;Belum Terakreditasi;60403703@serasibintuni.go.id;-2.002.600.000.000;133.614.500.000.000
70005110;TK YPK ELIM TOMU;KAMPUNG SEBYAR REJOSARI - DISTRIK TOMU;92.06.19.2001;null;Swasta;TK;C;70005110@serasibintuni.go.id;.000000000000;.000000000000
69980593;SD YPPK MANIMERI;Kampung Pasamai;92.06.11.2005;98551;Swasta;SD;Belum Terakreditasi;69980593@serasibintuni.go.id;-2.084.300.000.000;133.700.218.000.000
P9934312;PKBM ABDI PAMONG PRAJA;JL. WYATA PAMONG PRAJA KP. WERIAGAR SELATAN;92.06.21.2001;98364;Swasta;PKBM;C;P9934312@serasibintuni.go.id;-1.993.700.000.000;132.871.700.000.000
69787908;SMP SATAP MUYEBA;Muyeba, Kec. Moskona Utara - Kab. Teluk Bintuni;92.06.06.2001;98355;Negeri;SMP;C;69787908@serasibintuni.go.id;-2.819.200.000.000;133.491.500.000.000
60403664;TK AISYIAH BUSTANUL ATFAL;JL. PANTI ASUHAN, KOMPLEKS PERGURUAN MUHAMADIYAH;92.06.01.1001;98364;Swasta;TK;Belum Terakreditasi;60403664@serasibintuni.go.id;.000000000000;.000000000000
60403653;SMP MUHAMMADIYAH;Jl. Raya Bintuni;92.06.01.1001;98364;Swasta;SMP;B;60403653@serasibintuni.go.id;-2.113.800.000.000;133.528.100.000.000
70000943;TK YPPK ST. FRANSISKUS XAVERIUS BABO;JL, BABO;92.06.03.2022;98364;Swasta;TK;Belum Terakreditasi;70000943@serasibintuni.go.id;.000000000000;.000000000000
60401899;SD INPRES SIBENA I;Jl.Poros Sibena Raya;92.06.12.2004;98364;Negeri;SD;C;60401899@serasibintuni.go.id;-1.994.700.000.000;133.414.200.000.000
60403692;TK ST MARIA GORETI;BUMI SANIARI SP. III MANIMERI;92.06.11.2001;98364;Swasta;TK;C;60403692@serasibintuni.go.id;-1.905.700.000.000;133.329.500.000.000
60401940;SD NEGERI KALITAMI;Kampung Kalitami I;92.06.20.2001;98551;Negeri;SD;C;60401940@serasibintuni.go.id;-1.975.000.000.000;132.690.600.000.000
60401941;SD NEGERI SARA;Jln. Frud, No.;92.06.15.2001;98551;Negeri;SD;C;60401941@serasibintuni.go.id;-2.755.900.000.000;133.696.200.000.000
60401910;SD INPRES SUGA;Suga. Distrik Kaitaro. Kab.Teluk Bintuni;92.06.15.2005;98364;Negeri;SD;C;60401910@serasibintuni.go.id;-2.757.400.000.000;133.802.200.000.000
70008398;KB NEGERI HERLINA 1;TUHIBA;92.06.12.2004;null;Negeri;KB;C;70008398@serasibintuni.go.id;.000000000000;.000000000000
60403689;TK SAIBMA;AROBA;92.06.16.2001;98364;Swasta;TK;C;60403689@serasibintuni.go.id;-2.704.979.000.000;133.246.994.000.000
69938263;KB EVI IV MANIMERI;JL. RAYA BUMI SANIARI;92.06.11.2001;98364;Swasta;KB;C;69938263@serasibintuni.go.id;.000000000000;.000000000000
